product_id,sku,name,category,price,cost,description,image_url,stock_quantity,weight,dimensions,created_date
1,SKU-46048,Eco Speaker,Beauty,115.49,80.22,Eco Speaker - A high-quality speaker designed for modern needs.,https://example.com/images/sku-46048.jpg,346,3.73,39x10x42 cm,2025-01-12
2,SKU-22280,Premium Speaker,Beauty,free,77.01,Premium Speaker - A high-quality speaker designed for modern needs.,https://example.com/images/sku-22280.jpg,287,1.07,46x49x39 cm,2025-01-09
3,SKU-44973,Compact Chair,Sports,405.67,163.32,Compact Chair - A high-quality chair designed for modern needs.,https://example.com/images/sku-87236.jpg,412,0.88,32x26x22 cm,2024-04-14
4,SKU-54118,Compact Shoes,Home & Kitchen,50.91,22.33,,https://example.com/images/sku-54118.jpg,433,1.79,21x7x34 cm,2025-05-09
5,SKU-20328,Eco Bag,Health,150.12,97.8,,https://example.com/images/sku-20328.jpg,453,4.32,41x17x50 cm,2024-01-17
6,SKU-39871,Premium Headphones,Pet Supplies,148.25,64.03,Premium Headphones - A high-quality headphones designed for modern needs.,https://example.com/images/sku-39871.jpg,119,4.35,29x22x34 cm,2025-08-18
7,SKU-58520,Stylish Shirt,Automotive,108.71,55.09,Stylish Shirt - A high-quality shirt designed for modern needs.,https://example.com/images/sku-58520.jpg,479,3.45,9x43x45 cm,2024-04-30
8,SKU-42087,Wireless Pen,Clothing,233.82,118.78,Wireless Pen - A high-quality pen designed for modern needs.,https://example.com/images/sku-42087.jpg,473,3.24,40x19x48 cm,2024-10-04
9,SKU-14207,Premium Lamp,,161.15,81.72,Premium Lamp - A high-quality lamp designed for modern needs.,https://example.com/images/sku-14207.jpg,108,4.57,41x50x25 cm,2024-06-11
10,SKU-94259,Lightweight Bag,Books,75.72,34.52,Lightweight Bag - A high-quality bag designed for modern needs.,https://example.com/images/sku-94259.jpg,381,2.85,21x42x32 cm,2025-06-26
11,SKU-38746,Durable Vacuum,Clothing,257.22,112.24,,https://example.com/images/sku-38746.jpg,24,4.32,14x45x15 cm,2025-10-03
12,SKU-18326,Durable Camera,Toys,193.9,154.82,Durable Camera - A high-quality camera designed for modern needs.,https://example.com/images/sku-18326.jpg,270,1.33,40x5x48 cm,2024-03-03
13,SKU-44973,Wireless Shoes,Pet Supplies,322.28,143.29,Wireless Shoes - A high-quality shoes designed for modern needs.,https://example.com/images/sku-44973.jpg,222,0.87,5x21x37 cm,2024-05-07
14,SKU-91959,Wireless Mug,Sports,421.63,254.27,Wireless Mug - A high-quality mug designed for modern needs.,,101,0.85,15x39x38 cm,2023-11-07
